"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"cope10","numeric",0.00133657351154313,5,0.937583647645699,1,1,NA,0.937583647645699,NA,0,3,3,0.760199938258616,14.0705456308159,-0.317859464788365,-2.94198903637434,NA,NA
"cope11","numeric",0.00109356014580802,5,0.509913635810729,0,0,NA,0.509913635810729,NA,0,3,3,1.66375095028647,30.7981223597028,1.63584681175131,15.1426308734532,NA,NA
"cope12","numeric",0.00145808019441069,5,0.602944755414943,0,0,NA,0.602944755414943,NA,0,3,3,1.37803458663599,25.5045000469675,0.863261447107028,7.98954123227525,NA,NA
"cope13","numeric",0.00121506682867558,5,1.2132603406326,1,1,NA,1.2132603406326,NA,0,3,3,0.329387460033484,6.0970053928344,-0.876733866638303,-8.11521607010139,NA,NA
"cope14","numeric",0.00145808019441069,5,1.37064979313702,1,1,NA,1.37064979313702,NA,0,3,3,0.161572054149784,2.9903563398299,-0.968550061559195,-8.96399425490679,NA,NA
"cope15","numeric",0.00133657351154313,5,0.837206472806911,1,1,NA,0.837206472806911,NA,0,3,3,0.775775902372757,14.3588412525099,-0.0137653255670083,-0.127406735952398,NA,NA
"cope16","numeric",0.00109356014580802,5,1.03977618294611,1,1,NA,1.03977618294611,NA,0,3,3,0.529865990749505,9.80848582808536,-0.369312333453423,-3.41863327441508,NA,NA
"cope17","numeric",0.00109356014580802,5,1.61805133195475,2,2,NA,1.61805133195475,NA,0,3,3,-0.130667225363398,-2.41881466360808,-1.01791102076673,-9.42255151201394,NA,NA
"cope18","numeric",0.00157958687727825,5,1.64987221613728,2,2,NA,1.64987221613728,NA,0,3,3,-0.132806757591655,-2.45782215818749,-1.01873734982015,-9.42790757784021,NA,NA
"cope19","numeric",0.00121506682867558,5,0.300243309002433,0,0,NA,0.300243309002433,NA,0,3,3,2.39222316692477,44.2803668000021,5.68134615299782,52.5876247685062,NA,NA
"cope20","numeric",0.00145808019441069,5,0.164881966415186,0,0,NA,0.164881966415186,NA,0,3,3,3.34139403875133,61.8421230096317,12.7164486939316,117.691565526015,NA,NA
"cope21","numeric",0.00157958687727825,5,0.826944140197152,1,1,NA,0.826944140197152,NA,0,3,3,0.804564546782111,14.8898791494734,-0.0735056375662859,-0.680258123006396,NA,NA
"cope22","numeric",0.00133657351154313,5,1.13407957172405,1,1,NA,1.13407957172405,NA,0,3,3,0.468963776455812,8.68005360660324,-0.298182357049671,-2.75986504244721,NA,NA
"cope23","numeric",0.00133657351154313,5,0.524151356612727,0,0,NA,0.524151356612727,NA,0,3,3,1.56263987939076,28.9229117511721,1.54490940568393,14.2991071124464,NA,NA
"cope24","numeric",0.00133657351154313,5,0.483027132254532,0,0,NA,0.483027132254532,NA,0,3,3,1.70834136511926,31.6197015037688,2.06690135405332,19.1304705270954,NA,NA
"cope25","numeric",0.0023086269744836,5,0.416758007550846,0,0,NA,0.416758007550846,NA,0,3,3,1.7900772081358,33.1164278592604,2.74136969394102,25.3607547282574,NA,NA
"cope26","numeric",0.00170109356014581,5,0.366723466407011,0,0,NA,0.366723466407011,NA,0,3,3,2.03212905028547,37.6058273004576,3.82748778187814,35.4193419650387,NA,NA
"cope27","numeric",0.00133657351154313,5,0.874923956685728,1,1,NA,0.874923956685728,NA,0,3,3,0.846037938368131,15.6593217364357,-0.263534166370508,-2.43917427057992,NA,NA
"cope28","numeric",0.00157958687727825,5,0.254715833029086,0,0,NA,0.254715833029086,NA,0,3,3,2.65889590814962,49.2075358052024,7.28723583072998,67.4397438379746,NA,NA
